binary,file,filter,memory_peak_bytes,memory_total_bytes,size,time_seconds
Manual v1,photo-1547487452-5bdd9ce63723.jpg,ridge,20308077,20308077,small,192
Manual v1,30ddbd81.jpg,ridge,16068612,16068612,small,153
Manual v1,pfHrY2VQaGJuCsrFljKy_IMG_0257.JPG.jpg,ridge,4470340,4470340,small,40
Manual v1,photo-1547413749-dd39525702cd.jpg,ridge,23980004,23980004,small,230
Manual v1,photo-1544259342-306eccfec481.jpg,ridge,18852310,18852310,small,179
Manual v1,photo-1546941180-073df0bc8154.jpg,ridge,23980004,23980004,small,240
Manual v1,f7a44cdc.jpg,ridge,3237300,3237300,small,29
Manual v1,photo-1544261378-1d991c5816d1.jpg,ridge,21007588,21007588,small,200
Manual v1,cacce378.jpg,ridge,24140196,24140196,small,223
Manual v1,photo-1546423214-2eee206174a5.jpg,ridge,42150900,42150900,small,384
Manual v1,frozen-grass.JPG.jpg,ridge,10654670,10654670,small,96
Manual v1,photo-1543441246-0c431f3ffe9d.jpg,ridge,10640832,10640832,small,95
Manual v1,photo-1544886324-044d2b1e5820.jpg,ridge,30083204,30083204,small,300
Manual v1,photo-1546013385-9318bcdef4d8.jpg,ridge,10726625,10726625,small,104
Manual v1,photo-1547835633-40a93473c488.jpg,ridge,7951108,7951108,small,72
Manual v1,photo-1545525501-0b4fe2f08cb3.jpg,ridge,53979002,53979002,small,575
Manual v1,photo-1545912641-15610f3dbc9e.jpg,ridge,5985009,5985009,small,55
Manual v1,photo-1544592787-1ac83baa30f0.jpg,ridge,40170936,40170936,small,415
Manual v1,photo-1546977605-99ef7f8b45d9.jpg,ridge,16409334,16409334,small,154
Manual v1,photo-1542850775-09dd9bbd2cca.jpg,ridge,12197956,12197956,small,112
Manual v1,photo-1544989387-1bbbc71d2ef5.jpg,ridge,23980004,23980004,small,233
Manual v1,photo-1543651425-3260f9c9ecfb.jpg,ridge,30083204,30083204,small,301
Manual v1,photo-1543542849-dfa396b541c8.jpg,ridge,10850118,10850118,small,99
Manual v1,photo-1543662001-afbc8eda785e.jpg,ridge,12152420,12152420,small,122
